Stock #,Availability,Shape,Weight,Clarity,Color,Fancy Color,Fancy Color Intensity,Fancy Color Overtone,Price,Total Price,Discount Percent,Image Link,Image Link 2,Image Link 3,Image Link 4,Image Link 5,Image Link 6,Video Link,Cut Grade,Polish,Symmetry,Depth Percent,Table Percent,Fluorescence Intensity,Fluorescence Color,Lab,Certificate #,Certificate Url,Cert Comment,Culet Condition,Culet Size,Girdle Percent,Girdle Condition,Girdle Thick,Girdle Thin,Measurements,Measurements Depth,Measurements Length,Measurements Width,Milky,Pavilion Depth,BGM,Crown Height,Crown Angle,Pavilion Angle,Laser Inscription,Member Comments,Pair,H&A,City,State,Country,Stock Number for Matching Pair,Share Access,Eye Clean,Featured,Table Open,Crown Open,Girdle Open,Star Length,Type,Tinge,Luster,Black Inclusion,Location of Black,Table Inclusion,Key To Symbol,Surface Graining,Internal Graining,Inclusion Pattern,Diamond Origin Report,Short Title,Arrival Date,Growth Type
1196610,Available,Radiant,2.02,SI1,G,,,,915,1848,-92.5,https://viw-us.s3.amazonaws.com/1196610/still.jpg,,,,,,https://viw-us.s3.amazonaws.com/viewer/index.html?d=1196610,-,EX,EX,68.5,63.5,None,,IGI,532275165,https://viw-us.s3.amazonaws.com/c/532275165.jpg,This Laboratory Grown Diamond Was Created By Chemical Vapor Deposition (Cvd) Growth Process And May Include Post-Growth Treatment Type Iia,Pointed,,0.05,,,STK,8.61x6.22x4.26,4.26,8.61,6.22,,48.5,,15,42.8,34.5,LABGROWN IGI LG532275165,,,,New York,New York,United States,,,,,,,,,CVD - CVD Type IIA,Yellowish-White,,,,,,,,,,,,CVD
1165215,Available,Radiant,2.01,SI1,G,,,,915,1839,-92.5,https://viw-us.s3.amazonaws.com/1165215/still.jpg,,,,,,https://viw-us.s3.amazonaws.com/viewer/index.html?d=1165215,-,EX,EX,66.9,65,None,,IGI,529287134,https://viw-us.s3.amazonaws.com/c/529287134.jpg,This Laboratory Grown Diamond Was Created By Chemical Vapor Deposition (Cvd) Growth Process And May Include Post-Growth Treatment Type Iia,Pointed,,0.04,,,MED,9.14x6.20x4.15,4.15,9.14,6.2,,51,,12.5,41.4,34.3,LABGROWN IGI LG529287134,,,,New York,New York,United States,,,,,,,,,CVD - CVD Type IIA,Yellowish-Greyish,,,,,,,,,,,,CVD
1164328,Available,Radiant,2,SI1,G,,,,793,1586,-93.5,https://viw-us.s3.amazonaws.com/1164328/still.jpg,,,,,,https://viw-us.s3.amazonaws.com/viewer/index.html?d=1164328,-,EX,EX,65,70,None,,IGI,529287231,https://viw-us.s3.amazonaws.com/c/529287231.jpg,This Laboratory Grown Diamond Was Created By Chemical Vapor Deposition (Cvd) Growth Process And May Include Post-Growth Treatment Type Iia,Pointed,,0.05,,,STK,8.91x6.26x4.07,4.07,8.91,6.26,,47,,13.5,44.9,32.5,LABGROWN IGI LG529287231,,,,New York,New York,United States,,,,,,,,,CVD - CVD Type IIA,Yellowish-Greyish,,,,,,,,,,,,CVD
1179734,Available,Radiant,2,SI1,G,,,,793,1586,-93.5,https://viw-us.s3.amazonaws.com/1179734/still.jpg,,,,,,https://viw-us.s3.amazonaws.com/viewer/index.html?d=1179734,-,EX,EX,64.9,66.5,None,,IGI,529286868,https://viw-us.s3.amazonaws.com/c/529286868.jpg,This Laboratory Grown Diamond Was Created By Chemical Vapor Deposition (Cvd) Growth Process And May Include Post-Growth Treatment Type Iia,Pointed,,0.05,,STK,MED,9.16x6.18x4.01,4.01,9.16,6.18,,48,,12.5,40.8,33.4,LABGROWN IGI LG529286868,,,,New York,New York,United States,,,,,,,,,CVD - CVD Type IIA,Yellowish-Greyish,,,,,,,,,,,,CVD
1241582,Available,Radiant,1.56,SI1,G,,,,736,1148,-92,https://viw-us.s3.amazonaws.com/1241582/still.jpg,,,,,,https://viw-us.s3.amazonaws.com/viewer/index.html?d=1241582,-,EX,EX,63.3,65,None,,IGI,541257301,https://viw-us.s3.amazonaws.com/c/541257301.jpg,This Laboratory Grown Diamond Was Created By Chemical Vapor Deposition (Cvd) Growth Process And May Include Post-Growth Treatment Type Iia,Pointed,,0.04,,,MED,8.77x5.67x3.59,3.59,8.77,5.67,,45.5,,14,41.9,31.7,LABGROWN IGI LG541257301,,,,New York,New York,United States,,,,,,,,,CVD - CVD Type IIA,Yellowish-White,,,,,,,,,,,,CVD
1179002,Available,Radiant,1.55,SI1,G,,,,644,998,-93,https://viw-us.s3.amazonaws.com/1179002/still.jpg,,,,,,https://viw-us.s3.amazonaws.com/viewer/index.html?d=1179002,-,EX,EX,66,65,None,,IGI,529287138,https://viw-us.s3.amazonaws.com/c/529287138.jpg,This Laboratory Grown Diamond Was Created By Chemical Vapor Deposition (Cvd) Growth Process And May Include Post-Growth Treatment Type Iia,Pointed,,0.04,,STK,MED,8.37x5.65x3.73,3.73,8.37,5.65,,48,,14,44.7,33.9,LABGROWN IGI LG529287138,,,,New York,New York,United States,,,,,,,,,CVD - CVD Type IIA,Yellowish-Greyish,,,,,,,,,,,,CVD
1029350,Available,Radiant,1.53,SI1,G,,,,460,704,-95,https://viw-us.s3.amazonaws.com/1029350/still.jpg,,,,,,https://viw-us.s3.amazonaws.com/viewer/index.html?d=1029350,-,EX,EX,68.4,66.5,None,,IGI,490197458,https://viw-us.s3.amazonaws.com/c/490197458.jpg,This Laboratory Grown Diamond Was Created By Chemical Vapor Deposition (Cvd) Growth Process And May Include Post-Growth Treatment Type Iia,Pointed,,0.04,,STK,MED,7.37x5.67x3.88,3.88,7.37,5.67,,50.5,,13.5,45.3,30.6,LABGROWN IGI LG490197458,,,,New York,New York,United States,,,,,,,,,CVD - CVD Type IIA,Yellowish-White,,,,,,,,,,,,CVD
1095680,Available,Radiant,1.52,SI1,G,,,,690,1049,-92.5,https://viw-us.s3.amazonaws.com/1095680/still.jpg,,,,,,https://viw-us.s3.amazonaws.com/viewer/index.html?d=1095680,-,EX,EX,69.7,64,None,,IGI,512225928,https://viw-us.s3.amazonaws.com/c/512225928.jpg,This Laboratory Grown Diamond Was Created By Chemical Vapor Deposition (Cvd) Growth Process And May Include Post-Growth Treatment Type Iia,Pointed,,3.2,,,MED,8.20x5.61x3.91,3.91,8.2,5.61,,53.5,,13,44.2,35.3,LABGROWN IGI LG512225928,,,,New York,New York,United States,,,,,,,,,CVD - CVD Type IIA,White,,,,,,,,,,,,CVD
1167768,Available,Radiant,1.52,SI1,G,,,,644,979,-93,https://viw-us.s3.amazonaws.com/1167768/still.jpg,,,,,,https://viw-us.s3.amazonaws.com/viewer/index.html?d=1167768,-,EX,EX,65.5,65.5,None,,IGI,529287217,https://viw-us.s3.amazonaws.com/c/529287217.jpg,This Laboratory Grown Diamond Was Created By Chemical Vapor Deposition (Cvd) Growth Process And May Include Post-Growth Treatment Type Iia,Pointed,,0.04,,,MED,8.28x5.62x3.68,3.68,8.28,5.62,,47.5,,14,43.4,33.3,LABGROWN IGI LG529287217,,,,New York,New York,United States,,,,,,,,,CVD - CVD Type IIA,Yellowish-Greyish,,,,,,,,,,,,CVD
1045548,Available,Radiant,1.51,SI1,G,,,,644,972,-93,https://viw-us.s3.amazonaws.com/1045548/still.jpg,,,,,,https://viw-us.s3.amazonaws.com/viewer/index.html?d=1045548,-,EX,VG,66.1,64,None,,IGI,LG12829301,https://viw-us.s3.amazonaws.com/c/LG12829301.jpg,This Laboratory Grown Diamond Was Created By Chemical Vapor Deposition (Cvd) Growth Process And May Include Post-Growth Treatment Type Iia,Pointed,,0.03,,THK,STK,7.99x5.84x3.86,3.86,7.99,5.84,,51,,12,39.5,37.4,LABGROWN IGI LG12829301,,,,New York,New York,United States,,,,,,,,,CVD - CVD Type IIA,Yellowish-White,,,,,,,,,,,,CVD
